probe_id	symbol	gene_id	ensembl_id
10345457	Fer1l5	100534273	ENSMUSG00000037432
10345482	Cnnm4	94220	ENSMUSG00000037408
10345492	Cnnm3	94218	ENSMUSG00000001138
10345504	Cox5b	12859	ENSMUSG00000061518
10345509	Zap70	22637	ENSMUSG00000026117
10345529	Vwa3b	70853	ENSMUSG00000050122
10345546	Vwa3b	70853	ENSMUSG00000050122
10345548	Vwa3b	70853	ENSMUSG00000050122
10345550	Vwa3b	70853	ENSMUSG00000050122
10345552	Vwa3b	70853	ENSMUSG00000050122
10345554	Vwa3b	70853	ENSMUSG00000050122
10345556	Vwa3b	70853	ENSMUSG00000050122
10345558	Vwa3b	70853	ENSMUSG00000050122
10345571	Cnga3	12790	ENSMUSG00000026114
10345580	Inpp4a	269180	ENSMUSG00000026113
10345608	Unc50	67387	ENSMUSG00000026111
10345616	Lipt1	623661	ENSMUSG00000037216
10345620	Mrpl30	107734	ENSMUSG00000026087
10345626	Eif5b	226982	ENSMUSG00000026083
10345656	Nms	433292	ENSMUSG00000067604
10345666	Pdcl3	68833	ENSMUSG00000026078
10345675	Npas2	18143	ENSMUSG00000026077
10345706	Cnot11	52846	ENSMUSG00000003135
10345715	Map4k4	26921	ENSMUSG00000026074
10345752	Il1r2	16178	ENSMUSG00000026073
10345762	Il1r1	16177	ENSMUSG00000026072
10345777	Il1rl2	107527	ENSMUSG00000070942
10345791	Il1rl1	17082	ENSMUSG00000026069
10345807	Il18r1	16182	ENSMUSG00000026070
10345824	Il18rap	16174	ENSMUSG00000026068
10345840	Slc9a4	110895	ENSMUSG00000026065
10345855	Slc9a2	226999	ENSMUSG00000026062
10345869	Tmem182	381339	ENSMUSG00000079588
10345879	Pou3f3	18993	ENSMUSG00000045515
10345882	Mrps9	69527	ENSMUSG00000060679
10345895	Gpr45	93690	ENSMUSG00000041907
10345904	AI597479	98404	ENSMUSG00000010290
10345913	Nck2	17974	ENSMUSG00000066877
10345921	1500015O10Rik	78896	ENSMUSG00000026051
10345930	Tpp2	22019	ENSMUSG00000041763
10345967	Bivm	246229	ENSMUSG00000041684
10345981	Ercc5	22592	ENSMUSG00000026048
10346000	Gulp1	70676	ENSMUSG00000056870
10346015	Col3a1	12825	ENSMUSG00000026043
10346074	Wdr75	73674	ENSMUSG00000025995
10346107	Dnah7b	227058	ENSMUSG00000041144
10346116	Dnah7c	100101919	ENSMUSG00000101337
10346141	C230029F24Rik	442837	ENSMUSG00000051616
10346150	Tmeff2	56363	ENSMUSG00000026109
10346164	Sdpr	20324	ENSMUSG00000045954
10346168	Stat4	20849	ENSMUSG00000062939
10346191	Stat1	20846	ENSMUSG00000026104
10346224	Tmem194b	227094	ENSMUSG00000043015
10346235	Hibch	227095	ENSMUSG00000041426
10346250	Mstn	17700	ENSMUSG00000026100
10346255	Ormdl1	227102	ENSMUSG00000026097
10346260	Osgepl1	72085	ENSMUSG00000026096
10346269	Ccdc150	78016	ENSMUSG00000025983
10346298	Coq10b	67876	ENSMUSG00000025981
10346303	Hspe1	15528	ENSMUSG00000073676
10346310	Mob4	19070	ENSMUSG00000025979
10346323	Mars2	212679	ENSMUSG00000046994
10346330	Plcl1	227120	ENSMUSG00000038349
10346337	1700066M21Rik	73467	ENSMUSG00000038323
10346340	9430016H08Rik	68115	ENSMUSG00000025971
10346348	Spats2l	67198	ENSMUSG00000038305
10346365	Sgol2a	68549	ENSMUSG00000026039
10346374	Aox1	11761	ENSMUSG00000063558
10346410	Aox3	71724	ENSMUSG00000064294
10346448	Aox4	71872	ENSMUSG00000038242
10346485	Aox2	213043	ENSMUSG00000079554
10346523	Bzw1	66882	ENSMUSG00000051223
10346533	Nif3l1	65102	ENSMUSG00000026036
10346544	Ndufb3	66495	ENSMUSG00000026032
10346549	Cbx3	12417	ENSMUSG00000029836
10346551	Cflar	12633	ENSMUSG00000026031
10346562	Cflar	12633	ENSMUSG00000026031
10346564	Casp8	12370	ENSMUSG00000026029
10346576	Stradb	227154	ENSMUSG00000026027
10346594	Cdk15	271697	ENSMUSG00000026023
10346607	Fzd7	14369	ENSMUSG00000041075
10346611	Gm973	381260	ENSMUSG00000047361
10346634	Nop58	55989	ENSMUSG00000026020
10346651	Bmpr2	12168	ENSMUSG00000067336
10346668	Fam117b	72750	ENSMUSG00000041040
10346678	Carf	241066	ENSMUSG00000026017
10346695	Nbeal1	269198	ENSMUSG00000073664
10346722	Nbeal1	269198	ENSMUSG00000073664
10346764	Abi2	329165	ENSMUSG00000026782
10346780	Eif4a1	13681	ENSMUSG00000059796
10346783	Cd28	12487	ENSMUSG00000026012
10346790	Ctla4	12477	ENSMUSG00000026011
10346799	Icos	54167	ENSMUSG00000026009
10346810	Pard3b	72823	ENSMUSG00000052062
10346838	Pard3b	72823	ENSMUSG00000052062
10346843	Nrp2	18187	ENSMUSG00000025969
10346867	Eef1b2	55949	ENSMUSG00000025967
10346878	Zdbf2	73884	ENSMUSG00000027520
10346882	Adam23	23792	ENSMUSG00000025964
10346914	Fastkd2	75619	ENSMUSG00000025962
10346938	Gm13749	433315	ENSMUSG00000044689
10346943	Creb1	12912	ENSMUSG00000025958
10346960	Ccnyl1	227210	ENSMUSG00000070871
10346970	Pikfyve	18711	ENSMUSG00000025949
10347018	Pth2r	213527	ENSMUSG00000025946
10347033	Crygf	12969	ENSMUSG00000025945
10347060	Unc80	329178	ENSMUSG00000055567
10347073	Unc80	329178	ENSMUSG00000055567
10347106	Rpe	66646	ENSMUSG00000026005
10347117	Cps1	227231	ENSMUSG00000025991
10347163	Spag16	66722	ENSMUSG00000053153
10347188	Vwc2l	320460	ENSMUSG00000045648
10347193	Atic	108147	ENSMUSG00000026192
10347210	Apol7d	100042814	ENSMUSG00000073652
10347226	Tmem169	271711	ENSMUSG00000026188
10347232	Xrcc5	22596	ENSMUSG00000026187
10347254	Smarcal1	54380	ENSMUSG00000039354
10347277	Igfbp2	16008	ENSMUSG00000039323
10347282	Rufy4	435626	ENSMUSG00000061815
10347291	Cxcr2	12765	ENSMUSG00000026180
10347297	Arpc2	76709	ENSMUSG00000006304
10347307	Gpbar1	227289	ENSMUSG00000064272
10347310	Pnkd	56695	ENSMUSG00000026179
10347324	Catip	241112	ENSMUSG00000073650
10347335	Slc11a1	18173	ENSMUSG00000026177
10347351	Ctdsp1	227292	ENSMUSG00000026176
10347364	Vil1	22349	ENSMUSG00000026175
10347386	Rqcd1	58184	ENSMUSG00000026174
10347398	Plcd4	18802	ENSMUSG00000026173
10347417	Bcs1l	66821	ENSMUSG00000026172
10347427	Stk36	269209	ENSMUSG00000033276
10347460	Ttll4	67534	ENSMUSG00000033257
10347481	Cyp27a1	104086	ENSMUSG00000026170
10347491	Wnt6	22420	ENSMUSG00000033227
10347497	Wnt10a	22409	ENSMUSG00000026167
10347503	Cdk5r2	12570	ENSMUSG00000090071
10347508	Fam134a	227298	ENSMUSG00000049339
10347521	Zfand2b	68818	ENSMUSG00000026197
10347531	Ankzf1	52231	ENSMUSG00000026199
10347552	Stk16	20872	ENSMUSG00000026201
10347564	Dnajb2	56812	ENSMUSG00000026203
10347583	Des	13346	ENSMUSG00000026208
10347593	Speg	11790	ENSMUSG00000026207
10347639	Gmppa	69080	ENSMUSG00000033021
10347650	Asic4	241118	ENSMUSG00000033007
10347662	Tmem198	319998	ENSMUSG00000051703
10347669	Inha	16322	ENSMUSG00000032968
10347672	Stk11ip	71728	ENSMUSG00000026213
10347697	Slc4a3	20536	ENSMUSG00000006576
10347724	Slc4a3	20536	ENSMUSG00000006576
10347734	Sgpp2	433323	ENSMUSG00000032908
10347741	Mogat1	68393	ENSMUSG00000012187
10347767	Kcne4	57814	ENSMUSG00000047330
10347774	Mrpl44	69163	ENSMUSG00000026248
10347781	Nyap2	241134	ENSMUSG00000054976
10347792	Irs1	16367	ENSMUSG00000055980
10347796	Rhbdd1	76867	ENSMUSG00000026142
10347807	Col4a3	12828	ENSMUSG00000079465
10347862	Mff	75734	ENSMUSG00000026150
10347873	Agfg1	15463	ENSMUSG00000026159
10347888	Ccl20	20297	ENSMUSG00000026166
10347895	Daw1	71227	ENSMUSG00000053161
10347910	Fbxo36	66153	ENSMUSG00000073633
10347917	Rpl19	19921	ENSMUSG00000017404
10347948	Sp100	20684	ENSMUSG00000026222
10347968	Sp100	20684	ENSMUSG00000026222
10347970	Cab39	12283	ENSMUSG00000036707
10347980	Itm2c	64294	ENSMUSG00000026223
10347988	4933407L21Rik	71141	ENSMUSG00000026224
10347992	Spata3	70060	ENSMUSG00000026226
10348000	2810459M11Rik	72792	ENSMUSG00000026227
10348004	Psmd1	70247	ENSMUSG00000026229
10348032	Armc9	78795	ENSMUSG00000062590
10348062	B3gnt7	227327	ENSMUSG00000079445
10348070	C130036L24Rik	319336	ENSMUSG00000073627
10348072	C130036L24Rik	319336	ENSMUSG00000073627
10348074	1700019O17Rik	71863	ENSMUSG00000036574
10348087	Cops7b	26895	ENSMUSG00000026240
10348096	Dis3l2	208718	ENSMUSG00000053333
10348131	Akp3	11648	ENSMUSG00000036500
10348144	Prss56	69453	ENSMUSG00000036480
10348150	Chrnd	11447	ENSMUSG00000026251
10348166	Chrng	11449	ENSMUSG00000026253
10348180	Eif4e2	26987	ENSMUSG00000026254
10348194	Efhd1	98363	ENSMUSG00000026255
10348201	Gigyf2	227331	ENSMUSG00000048000
10348234	Neu2	23956	ENSMUSG00000079434
10348240	3110079O15Rik	73234	ENSMUSG00000026258
10348244	Inpp5d	16331	ENSMUSG00000026288
10348277	Atg16l1	77040	ENSMUSG00000026289
10348301	Sag	20215	ENSMUSG00000056055
10348321	Dgkd	227333	ENSMUSG00000070738
10348376	Mroh2a	100040766	ENSMUSG00000079429
10348378	Trpm8	171382	ENSMUSG00000036251
10348410	Spp2	75396	ENSMUSG00000026295
10348424	Sh3bp4	98402	ENSMUSG00000036206
10348432	Agap1	347722	ENSMUSG00000055013
10348451	Ackr3	12778	ENSMUSG00000044337
10348456	Cops8	108679	ENSMUSG00000034432
10348471	Mlph	171531	ENSMUSG00000026303
10348489	Prlh	623503	ENSMUSG00000090550
10348493	Lrrfip1	16978	ENSMUSG00000026305
10348521	Rbm44	329207	ENSMUSG00000070732
10348537	Ramp1	51801	ENSMUSG00000034353
10348547	Ube2f	67921	ENSMUSG00000034343
10348558	Scly	50880	ENSMUSG00000026307
10348570	Espnl	227357	ENSMUSG00000049515
10348580	Klhl30	70788	ENSMUSG00000026308
10348590	Fam132b	227358	ENSMUSG00000047443
10348600	Traf3ip1	74019	ENSMUSG00000034292
10348618	Asb1	65247	ENSMUSG00000026311
10348632	Twist2	13345	ENSMUSG00000007805
10348635	Olfr1413	259039	ENSMUSG00000058904
10348637	Olfr1412	258274	ENSMUSG00000046300
10348639	Olfr1411	258483	ENSMUSG00000062497
10348643	Olfr12	257890	ENSMUSG00000061616
10348645	Gpr35	64095	ENSMUSG00000026271
10348653	Gpc1	14733	ENSMUSG00000034220
10348666	Dusp28	67446	ENSMUSG00000047067
10348670	Rnpepl1	108657	ENSMUSG00000026269
10348682	Capn10	23830	ENSMUSG00000026270
10348697	Aqp12	208760	ENSMUSG00000045091
10348702	Agxt	11611	ENSMUSG00000026272
10348713	E030010N08Rik	381284	ENSMUSG00000084989
10348739	Sned1	208777	ENSMUSG00000047793
10348775	Ppp1r7	66385	ENSMUSG00000026275
10348791	Ano7	404545	ENSMUSG00000034107
10348817	Sept2	18000	ENSMUSG00000026276
10348829	Farp2	227377	ENSMUSG00000034066
10348858	Bok	51800	ENSMUSG00000026278
10348866	Atg4b	66615	ENSMUSG00000026280
10348879	Ing5	66262	ENSMUSG00000026283
10348889	D2hgdh	98314	ENSMUSG00000073609
10348906	Gm6086	619597	ENSMUSG00000073608
10348910	Neu4	241159	ENSMUSG00000034000
10348917	Fam174a	67698	ENSMUSG00000051185
10348924	Rpl18a	76808	ENSMUSG00000045128
10348929	Hnrnpf	98758	ENSMUSG00000042079
10348932	Gin1	252876	ENSMUSG00000026333
10348947	Slco6d1	70866	ENSMUSG00000026336
10348963	Cntnap5b	241175	ENSMUSG00000067028
10348999	Cdh20	23836	ENSMUSG00000050840
10349014	Capza1	12340	ENSMUSG00000070372
10349016	2310035C23Rik	227446	ENSMUSG00000026319
10349049	Zfp706	68036	ENSMUSG00000062397
10349051	Tnfrsf11a	21934	ENSMUSG00000026321
10349065	Zcchc2	227449	ENSMUSG00000038866
10349081	Phlpp1	98432	ENSMUSG00000044340
10349108	Serpinb5	20724	ENSMUSG00000067006
10349118	Serpinb12	71869	ENSMUSG00000059956
10349129	Serpinb13	241196	ENSMUSG00000048775
10349138	Serpinb11	66957	ENSMUSG00000026327
10349147	Serpinb7	116872	ENSMUSG00000067001
10349157	Serpinb2	18788	ENSMUSG00000062345
10349166	Serpinb10	241197	ENSMUSG00000092572
10349174	Serpinb8	20725	ENSMUSG00000026315
10349184	Cdh7	241201	ENSMUSG00000026312
10349208	Cntnap5a	636808	ENSMUSG00000070695
10349239	Nifk	67949	ENSMUSG00000026377
10349249	Clasp1	76707	ENSMUSG00000064302
10349295	Tfcp2l1	81879	ENSMUSG00000026380
10349316	Tmem185b	226351	ENSMUSG00000098923
10349319	Sctr	319229	ENSMUSG00000026387
10349333	3110009E18Rik	73103	ENSMUSG00000026388
10349340	C1ql2	226359	ENSMUSG00000036907
10349345	En1	13798	ENSMUSG00000058665
10349348	Ccdc93	70829	ENSMUSG00000026339
10349383	Slc35f5	74150	ENSMUSG00000026342
10349401	Gpr39	71111	ENSMUSG00000026343
10349404	Mgat5	107895	ENSMUSG00000036155
10349431	Acmsd	266645	ENSMUSG00000026348
10349442	Ccnt2	72949	ENSMUSG00000026349
10349453	Rab3gap1	226407	ENSMUSG00000036104
10349480	R3hdm1	226412	ENSMUSG00000056211
10349512	Ubxn4	67812	ENSMUSG00000026353
10349529	Thsd7b	210417	ENSMUSG00000042581
10349559	Yod1	226418	ENSMUSG00000046404
10349562	AA986860	212439	ENSMUSG00000042510
10349571	Fcamr	64435	ENSMUSG00000026415
10349580	Pigr	18703	ENSMUSG00000026417
10349593	Faim3	69169	ENSMUSG00000042474
10349603	Il10	16153	ENSMUSG00000016529
10349610	Eif2d	16865	ENSMUSG00000026427
10349637	Fam72a	108900	ENSMUSG00000055184
10349644	Avpr1b	26361	ENSMUSG00000026432
10349648	Ctse	13034	ENSMUSG00000004552
10349661	5430435G22Rik	226421	ENSMUSG00000052688
10349671	Slc26a9	320718	ENSMUSG00000042268
10349694	Pm20d1	212933	ENSMUSG00000042251
10349711	Slc41a1	98396	ENSMUSG00000013275
10349724	Rab29	226422	ENSMUSG00000026433
10349733	Nucks1	98415	ENSMUSG00000026434
10349744	Slc45a3	212980	ENSMUSG00000026435
10349752	Elk4	13714	ENSMUSG00000026436
10349761	Lemd1	213409	ENSMUSG00000079330
10349769	Mir135b	723818	ENSMUSG00000065435
10349773	Klhdc8a	213417	ENSMUSG00000042115
10349782	Nuak2	74137	ENSMUSG00000009772
10349793	Dstyk	213452	ENSMUSG00000042046
10349821	Tmem81	74626	ENSMUSG00000048174
10349826	Gm10538	100038653	ENSMUSG00000101126
10349828	Lrrn2	16980	ENSMUSG00000026443
10349834	Pik3c2b	240752	ENSMUSG00000026447
10349868	Ppp1r15b	108954	ENSMUSG00000046062
10349876	Plekha6	240753	ENSMUSG00000041757
10349904	Golt1a	68338	ENSMUSG00000103421
10349932	Etnk2	214253	ENSMUSG00000070644
10349947	Fmod	14264	ENSMUSG00000041559
10349953	Chit1	71884	ENSMUSG00000026450
10349968	Chil1	12654	ENSMUSG00000064246
10349980	Mybph	53311	ENSMUSG00000042451
10349993	Myog	17928	ENSMUSG00000026459
10349997	4933406M09Rik	240755	ENSMUSG00000050526
10350003	Cyb5r1	72017	ENSMUSG00000026456
10350024	Klhl12	240756	ENSMUSG00000026455
10350039	Rabif	98710	ENSMUSG00000042229
10350046	Kdm5b	75605	ENSMUSG00000042207
10350077	Syt2	20980	ENSMUSG00000026452
10350090	Ube2t	67196	ENSMUSG00000026429
10350102	Ptpn7	320139	ENSMUSG00000031506
10350113	Arl8a	68724	ENSMUSG00000026426
10350123	Lmod1	93689	ENSMUSG00000048096
10350136	Csrp1	13007	ENSMUSG00000026421
10350146	Phlda3	27280	ENSMUSG00000041801
10350149	Tnni1	21952	ENSMUSG00000026418
10350159	Lad1	16763	ENSMUSG00000041782
10350173	Tnnt2	21956	ENSMUSG00000026414
10350188	Tmem9	66241	ENSMUSG00000026411
10350197	Ascl5	226439	ENSMUSG00000097918
10350199	Cacna1s	12292	ENSMUSG00000026407
10350247	Kif21b	16565	ENSMUSG00000041642
10350286	Ddx59	67997	ENSMUSG00000026404
10350297	Kif14	381293	ENSMUSG00000041498
10350329	Kif14	381293	ENSMUSG00000041498
10350331	Zfp281	226442	ENSMUSG00000041483
10350335	Hmbs	15288	ENSMUSG00000032126
10350339	Mir181a-1	735252	ENSMUSG00000065565
10350341	Mir181b-1	723890	ENSMUSG00000065458
10350343	Atp6v1g3	338375	ENSMUSG00000026394
10350349	Dennd1b	329260	ENSMUSG00000056268
10350377	Zbtb41	226470	ENSMUSG00000033964
10350392	Aspm	12316	ENSMUSG00000033952
10350425	F13b	14060	ENSMUSG00000026368
10350438	Kcnt2	240776	ENSMUSG00000052726
10350473	B3galt2	26878	ENSMUSG00000033849
10350478	Glrx2	69367	ENSMUSG00000018196
10350489	Uchl5	56207	ENSMUSG00000018189
10350506	Brinp3	215378	ENSMUSG00000035131
10350516	Ptgs2	19225	ENSMUSG00000032487
10350530	Pdc	20028	ENSMUSG00000006007
10350535	Tpr	108989	ENSMUSG00000006005
10350594	Ivns1abp	117198	ENSMUSG00000023150
10350614	Trmt1l	98685	ENSMUSG00000053286
10350630	Fam129a	63913	ENSMUSG00000026483
10350646	Edem3	66967	ENSMUSG00000043019
10350668	Colgalt2	269132	ENSMUSG00000032649
10350681	Apobec4	71281	ENSMUSG00000055547
10350684	Arpc5	67771	ENSMUSG00000008475
10350689	Ncf2	17970	ENSMUSG00000026480
10350697	Nmnat2	226518	ENSMUSG00000042751
10350710	Shcbp1l	71836	ENSMUSG00000042708
10350723	Shcbp1l	71836	ENSMUSG00000042708
10350725	Rgs8	67792	ENSMUSG00000042671
10350733	Rgs16	19734	ENSMUSG00000026475
10350742	Rnasel	24014	ENSMUSG00000066800
10350749	Teddm1b	433365	ENSMUSG00000043282
10350751	Teddm1a	240819	ENSMUSG00000047053
10350753	Glul	14645	ENSMUSG00000026473
10350760	Zfp648	100503355	ENSMUSG00000066797
10350766	Stx6	58244	ENSMUSG00000026470
10350777	Acbd6	72482	ENSMUSG00000033701
10350790	Tor1aip2	240832	ENSMUSG00000050565
10350792	Tor1aip2	240832	ENSMUSG00000050565
10350800	Tor1aip2	240832	ENSMUSG00000050565
10350806	Nphs2	170484	ENSMUSG00000026602
10350819	Csnk2a1	12995	ENSMUSG00000074698
10350823	Abl2	11352	ENSMUSG00000026596
10350840	Angptl1	72713	ENSMUSG00000033544
10350848	2810025M15Rik	69953	ENSMUSG00000049881
10350853	BC026585	226527	ENSMUSG00000033488
10350864	Sec16b	89867	ENSMUSG00000026589
10350896	Astn1	11899	ENSMUSG00000026587
10350923	Rfwd2	26374	ENSMUSG00000040782
10350951	Tnr	21960	ENSMUSG00000015829
10350977	4930523C07Rik	67647	ENSMUSG00000090394
10350985	Mrps14	64659	ENSMUSG00000058267
10350992	Rc3h1	381305	ENSMUSG00000040423
10351013	Rc3h1	381305	ENSMUSG00000040423
10351015	Serpinc1	11905	ENSMUSG00000026715
10351026	Gas5	14455	ENSMUSG00000053332
10351035	Gas5	14455	ENSMUSG00000053332
10351037	Gas5	14455	ENSMUSG00000053332
10351039	Gas5	14455	ENSMUSG00000053332
10351041	Gas5	14455	ENSMUSG00000053332
10351045	Gas5	14455	ENSMUSG00000053332
10351047	Cenpl	70454	ENSMUSG00000026708
10351056	Ankrd45	73844	ENSMUSG00000044835
10351095	Tnfsf4	22164	ENSMUSG00000026700
10351099	Tnfsf18	240873	ENSMUSG00000066755
10351107	Pigc	67292	ENSMUSG00000026698
10351111	Dnm3os	474332	ENSMUSG00000078190
10351119	Vamp4	53330	ENSMUSG00000026696
10351131	Myoc	17926	ENSMUSG00000026697
10351140	Kifap3	16579	ENSMUSG00000026585
10351163	Scyl3	240880	ENSMUSG00000026584
10351179	Mettl18	69962	ENSMUSG00000041396
10351182	Sele	20339	ENSMUSG00000026582
10351197	Sell	20343	ENSMUSG00000026581
10351206	Selp	20344	ENSMUSG00000026580
10351224	F5	14067	ENSMUSG00000026579
10351259	Slc19a2	116914	ENSMUSG00000040918
10351269	Ccdc181	74895	ENSMUSG00000026578
10351277	Nme7	171567	ENSMUSG00000026575
10351293	Dpt	56429	ENSMUSG00000026574
10351298	Gpr161	240888	ENSMUSG00000040836
10351304	Mpc2	70456	ENSMUSG00000026568
10351310	Adcy10	271639	ENSMUSG00000026567
10351347	Creg1	433375	ENSMUSG00000040713
10351353	Cd247	12503	ENSMUSG00000005763
10351368	Gpa33	59290	ENSMUSG00000000544
10351380	Ildr2	100039795	ENSMUSG00000040612
10351390	Tada1	27878	ENSMUSG00000026563
10351400	Fam78b	226610	ENSMUSG00000060568
10351404	Tmco1	68944	ENSMUSG00000052428
10351414	Aldh9a1	56752	ENSMUSG00000026687
10351430	Rxrg	20183	ENSMUSG00000015843
10351443	Lmx1a	110648	ENSMUSG00000026686
10351455	Rgs5	19737	ENSMUSG00000026678
10351463	Rgs5	19737	ENSMUSG00000026678
10351465	1700084C01Rik	78465	ENSMUSG00000070532
10351473	Sh2d1b2	545378	ENSMUSG00000073494
10351477	Sh2d1b1	26904	ENSMUSG00000102418
10351482	1700015E13Rik	76925	ENSMUSG00000042800
10351487	Nos1ap	70729	ENSMUSG00000038473
10351491	Olfml2b	320078	ENSMUSG00000038463
10351502	Dusp12	80915	ENSMUSG00000026659
10351509	Fcgr4	246256	ENSMUSG00000059089
10351517	Cfap126	75472	ENSMUSG00000026649
10351525	Mpz	17528	ENSMUSG00000056569
10351533	Nr1i3	12355	ENSMUSG00000005677
10351546	Apoa2	11807	ENSMUSG00000005681
10351551	Adamts4	240913	ENSMUSG00000006403
10351563	B4galt3	57370	ENSMUSG00000052423
10351574	Dedd	21945	ENSMUSG00000013973
10351583	Pfdn2	18637	ENSMUSG00000006412
10351588	Pvrl4	71740	ENSMUSG00000006411
10351603	Arhgap30	226652	ENSMUSG00000048865
10351616	Usf1	22278	ENSMUSG00000026641
10351623	F11r	16456	ENSMUSG00000038235
10351636	Alyref2	56009	ENSMUSG00000060244
10351658	Cd48	12506	ENSMUSG00000015355
10351667	Slamf1	27218	ENSMUSG00000015316
10351679	Cd84	12523	ENSMUSG00000038147
10351691	Slamf6	30925	ENSMUSG00000015314
10351703	Copa	12847	ENSMUSG00000026553
10351738	Pex19	19298	ENSMUSG00000003464
10351749	Dcaf8	98193	ENSMUSG00000026554
10351769	Igsf8	140559	ENSMUSG00000038034
10351781	Kcnj10	16513	ENSMUSG00000044708
10351788	Pigm	67556	ENSMUSG00000050229
10351792	Slamf9	98365	ENSMUSG00000026548
10351801	Igsf9	93842	ENSMUSG00000037995
10351825	Tagln2	21346	ENSMUSG00000026547
10351832	Cfap45	71870	ENSMUSG00000026546
10351843	Vsig8	240916	ENSMUSG00000049598
10351852	Crp	12944	ENSMUSG00000037942
10351857	Olfr16	18313	ENSMUSG00000037924
10351861	Olfr218	258880	ENSMUSG00000046643
10351863	Olfr1404	258881	ENSMUSG00000049456
10351865	Olfr418-ps1	258645	ENSMUSG00000049605
10351867	Aim2	383619	ENSMUSG00000037860
10351873	Pyhin1	236312	ENSMUSG00000043263
10351880	Pydc3	100033459	ENSMUSG00000066677
10351884	Olfr433	258712	ENSMUSG00000045381
10351886	Olfr432	258711	ENSMUSG00000047048
10351888	Olfr430	258713	ENSMUSG00000050134
10351891	Olfr429	258717	ENSMUSG00000049528
10351895	Olfr424	258716	ENSMUSG00000051528
10351899	Olfr421-ps1	258715	ENSMUSG00000091950
